writer_id,quality_label,suspect_device,number_of_surveys,number_of_sensors,number_of_gyro_records,number_of_accelerometer_records,days_in_study,build_version,device_model
7f3058cb-5796-4bc6-9f46-c9d9c644d527,limited-sensors,FALSE,102,37,3,3,77,2.7.5-WASH-Mar2020,"iPhone10,5"
7dbac7ac-c7ef-4923-83c2-c2d648248533,limited-surveys,FALSE,56,6426,0,522,83,1.6.7-beta,Moto E (4)
e11814a7-af19-4cd1-90ac-49d89f584c99,intermittent,FALSE,19,636,50,50,36,1.6.7-beta,LGMP260
0245428b-a8f8-4d90-9587-5893d843809f,sparse,FALSE,0,9475,480,603,35,1.6.7-beta,SAM-SM-G870A
664f3846-eb1b-421d-9d28-a4e7be992166,limited-sensors,FALSE,155,10,1,1,83,2.7.5-WASH-Mar2020,"iPhone10,3"
67d737c6-5414-447e-a6fa-07de752a2a71,limited-sensors,FALSE,37,170,20,20,37,2.7.5-WASH-Mar2020,"iPhone9,2"
e59d2515-2a26-4e33-a405-416f525f2784,limited-surveys,FALSE,10,326,12,12,12,1.6.7-beta,Redmi Note 5
433b185c-7f06-4c20-b872-a2d7a7315573,active,FALSE,49,7517,361,362,91,1.6.7-beta,SM-G970U
7b224987-428a-44fb-b918-a323a4a680af,committed,FALSE,108,10727,442,450,66,1.6.7-beta,moto g(6)
4c9732e8-ddd2-4557-9e0c-114804a2a8f1,limited-surveys,FALSE,3,396,17,17,11,1.6.7-beta,CPH1903
7b39d2b7-53ea-4cd4-9144-6af97233b141,limited-surveys,TRUE,2,328,14,14,11,1.6.7-beta,508a72acf191d8ef
6f769b49-bb5e-46f5-b1a2-2414745ece95,sparse,FALSE,0,21,1,1,0,1.6.7-beta,Redmi Note 7
7afae317-6c17-4af4-9fce-7b9f052222a0,sparse,FALSE,1,77,3,4,3,1.6.7-beta,Redmi Note 7
94087814-0ac4-4a14-897c-46314f08934c,sparse,FALSE,0,28,3,4,52,2.7.5-WASH-Mar2020,"iPad7,11"
c5e862a4-2c8e-4054-a801-efc99f983505,limited-surveys,FALSE,7,461,20,20,8,1.6.7-beta,Redmi Note 8
e7d1d647-66f3-4d37-b07f-bd6f4786d53f,limited-surveys,FALSE,9,562,23,29,39,1.6.7-beta,Mi A2 Lite
3a58e149-3493-4b97-a61d-104048510b27,intermittent,FALSE,29,1666,74,74,27,1.6.7-beta,SM-G960U
0511e667-7367-4075-98da-06c40ed3905c,limited-surveys,FALSE,72,9271,0,725,91,1.6.7-beta,Moto E (4)
d9838511-9ebf-4d30-8828-ca836e5df7ef,sparse,FALSE,0,66,9,8,1,2.7.5-WASH-Mar2020,"iPhone11,6"
583b3948-aef7-4a94-959a-ca3e1a024862,committed,FALSE,86,5780,307,318,79,1.6.7-beta,SM-N910V
0c1037ea-c38d-4a3d-9046-0f6fd79a0847,limited-surveys,FALSE,4,2145,103,107,15,1.6.7-beta,moto e5 supra
41ddcd53-f5f1-4196-a4d8-a2fd46f198a4,intermittent,FALSE,31,471,63,61,49,2.7.5-WASH-Mar2020,"iPhone11,6"
caa40e84-bb17-4ca1-b250-1950e005fcb0,limited-sensors,FALSE,160,13,1,0,84,2.7.5-WASH-Mar2020,"iPhone11,8"
74489c15-8603-4ded-8c0f-76b738399f66,limited-surveys,FALSE,12,418,19,19,51,1.6.7-beta,SM-G960U1
1ef7978e-13f5-4a64-8379-9b7128488114,active,FALSE,36,1333,223,225,85,2.7.5-WASH-Mar2020,"iPhone12,1"
73e2cdab-a490-44ee-a9ef-299069daaaa7,active,FALSE,59,3498,188,189,74,1.6.7-beta,moto e5 plus
21ca985d-b403-45ff-a46d-9787b617ce4e,intermittent,FALSE,165,582,72,70,84,2.7.5-WASH-Mar2020,"iPhone11,8"
de93f613-619a-48f4-9211-959f4bd71cb3,limited-surveys,FALSE,156,294,34,34,83,2.7.5-WASH-Mar2020,"iPhone10,1"
c7bf7138-581e-4675-8796-a538430f09d5,limited-surveys,FALSE,135,22708,0,1119,85,1.6.7-beta,LML212VL
e16f097f-224b-4a5d-846a-5d59dc63c451,committed,FALSE,137,8690,609,609,93,1.6.7-beta,SM-J737T1
72f9fcb0-48ca-4dd2-bc30-bfca9267a6d5,limited-sensors,FALSE,33,53,2,2,59,1.6.7-beta,SM-G973U
c8ae8d90-d55a-4c05-aae5-a9d16ba431d2,active,FALSE,149,1730,230,233,84,2.7.5-WASH-Mar2020,"iPhone12,1"
15220d91-5c0b-4a38-8940-c0e3b6ca18ea,limited-sensors,FALSE,20,138,19,18,20,2.7.5-WASH-Mar2020,"iPhone12,3"
3a75231e-e511-41f5-8524-e2acc15a9d49,limited-sensors,FALSE,45,20,1,1,40,2.7.5-WASH-Mar2020,"iPhone10,3"
92cfa146-3f21-4441-8662-0a124515c3fe,intermittent,FALSE,22,3064,209,209,86,1.6.7-beta,SM-A205U
c506c108-3173-413c-befb-4a6534013129,active,FALSE,47,1918,236,243,52,2.7.5-WASH-Mar2020,"iPhone9,4"
f047793c-1001-44e6-a0d5-899540f264a8,active,FALSE,45,9614,414,413,73,1.6.7-beta,SM-N960U
1bbd343a-72f0-44cc-a225-b0d534f0cf62,limited-surveys,FALSE,6,1906,85,85,7,1.6.7-beta,SM-N960U
1e4a744f-3344-4755-9a21-257e1a2c7122,intermittent,FALSE,33,1872,77,77,31,1.6.7-beta,SM-N960U
037b2241-66b3-4643-b041-0a7acb92a807,limited-sensors,FALSE,109,75,2,2,67,1.6.7-beta,SM-N950U
0f6b02a3-7583-447d-a428-1432866c2fe1,intermittent,FALSE,26,3603,187,186,91,1.6.7-beta,SM-N970U
d63d0fe6-aac6-4601-87f3-fa2a60792e2d,sparse,FALSE,1,1,0,0,86,2.9.6-WASH-Jun2020,"iPhone12,8"
5149d17a-b027-4c09-8d02-636eea059256,limited-sensors,FALSE,136,19,0,0,81,2.7.5-WASH-Mar2020,"iPhone8,1"
61ad34cf-ac74-40fd-b08c-8445522d5cf3,intermittent,FALSE,147,1120,79,80,90,2.7.5-WASH-Mar2020,"iPhone9,1"
a234f542-19ba-413d-8256-601e686b252f,limited-surveys,FALSE,11,2400,184,184,19,1.6.7-beta,ASUS_Z017DA
370da9cd-327d-46bf-a4a6-4f2744d41784,active,FALSE,45,3043,152,152,52,1.6.7-beta,SM-G970U
309273ff-5345-4f12-a5a2-cd7953fb4934,active,FALSE,162,1775,344,347,83,2.7.5-WASH-Mar2020,"iPhone8,2"
936b1351-ea5e-4c7f-b95d-e99055388c28,sparse,FALSE,2,182,0,94,21,1.6.7-beta,Moto C Plus
23b282c7-f48b-4e12-86e7-fd056a1c59ea,committed,FALSE,107,9905,548,553,89,1.6.7-beta,cp3705A
d94e3066-c081-4bb2-809f-bd27577005e4,sparse,FALSE,0,2962,130,130,8,1.6.7-beta,SM-G986U1
f1d17783-dde7-4495-b12b-af9315239997,sparse,FALSE,0,227,32,34,7,2.7.5-WASH-Mar2020,"iPhone8,4"
a98b3f85-e70e-45fb-9f88-04b2578efa06,intermittent,FALSE,68,273,48,46,89,2.7.5-WASH-Mar2020,"iPhone7,1"
18f5c096-4747-4f08-8a45-8c779eb025b4,intermittent,FALSE,138,835,127,136,84,2.7.5-WASH-Mar2020,"iPhone7,1"
59efd403-cffe-4f0f-be2d-41aacdc1ccd1,intermittent,FALSE,55,2070,95,95,89,1.6.7-beta,SM-N960U
4afb0887-5de7-4973-b289-584def8682bb,active,FALSE,155,2683,306,303,83,2.7.5-WASH-Mar2020,"iPhone12,5"
863e7766-24c5-4edb-9c04-125342288e4e,limited-sensors,FALSE,55,21,1,1,51,2.7.5-WASH-Mar2020,"iPhone10,4"
d6e4add5-bd97-48c2-bd6a-048104fbb4b3,intermittent,FALSE,39,352,49,49,51,2.7.5-WASH-Mar2020,"iPhone9,4"
11d3f7ac-3864-4791-b389-1cb48cde254a,active,FALSE,151,1625,242,234,83,2.7.5-WASH-Mar2020,"iPhone7,2"
8ab5e496-a2a8-4750-be96-6e6f8cbf7206,committed,FALSE,141,33249,1207,1209,90,1.6.7-beta,SM-N950U
8a41ab4c-37ed-4bf0-98a2-a02b34169d31,active,FALSE,62,2054,142,141,50,2.7.5-WASH-Mar2020,"iPhone10,1"
19575570-ce8a-4e66-9efd-17dec1df7c54,limited-surveys,FALSE,2,22002,1228,1396,74,1.6.7-beta,LGMP450
967f67e8-8700-48cc-b267-d4d5594e463e,sparse,FALSE,1,103,4,4,2,1.6.7-beta,Pixel 2 XL
6cf98a9b-1ed1-496a-bf50-580b365e588e,intermittent,FALSE,26,1996,90,90,214,1.6.7-beta,SM-G973U
03803dd9-ca27-4410-9373-a3177314435a,intermittent,FALSE,99,378,44,47,82,2.7.5-WASH-Mar2020,"iPhone11,8"
b752a4fc-56cb-4376-b849-493e05cb9c5b,limited-sensors,FALSE,155,194,30,29,96,2.7.5-WASH-Mar2020,"iPhone6,2"
5eba74b5-3560-478f-9b93-ecbeaaa02dce,limited-surveys,FALSE,25,348,0,105,24,1.6.7-beta,XT1700
51e109d5-4f6e-429d-a183-0e062fbdf066,limited-surveys,FALSE,141,226,1,1,88,2.7.5-WASH-Mar2020,"iPhone6,2"
7c3f4286-2a11-46a4-bce1-2373fa03ceca,limited-surveys,FALSE,20,417,0,38,87,1.6.7-beta,LG-H650
c7de5684-15fd-44f4-a748-e5fc6a5b0abc,limited-sensors,FALSE,138,165,21,21,90,2.7.5-WASH-Mar2020,"iPhone9,3"
8a4a921b-4075-4f76-ae61-cc4fcfe4a890,limited-surveys,FALSE,13,466,48,48,45,1.6.7-beta,XT1068
8a53fb2e-bc3b-40db-8530-28c341e3229d,intermittent,FALSE,23,1852,77,77,87,1.6.7-beta,Pixel 3 XL
29916c8d-efb3-4112-b6bd-4628ac0ffb15,limited-surveys,FALSE,126,5904,0,911,87,1.6.7-beta,SM-A102U
2aeebb0f-609f-4d38-96a0-1af3f6dfc46e,intermittent,FALSE,31,297,36,35,75,2.7.5-WASH-Mar2020,"iPhone9,1"
00118fef-7bec-43a1-8253-af1e89609c27,committed,FALSE,69,7709,323,351,75,1.6.7-beta,moto e5 plus
6afdfd49-b262-4b87-a3cd-9720b4b5a7c5,active,FALSE,140,1185,147,142,84,2.7.5-WASH-Mar2020,"iPhone10,1"
bcbc91c5-ded6-4cd8-91db-06f33d3e23e5,few sensors,FALSE,12,1,0,0,25,2.7.5-WASH-Mar2020,"iPhone12,1"
8c51036b-1ee5-489b-98ea-7be7c973fd9c,committed,FALSE,99,5130,237,242,89,1.6.7-beta,moto g(6)
7f4acf39-b484-44a1-856e-9bcdde6f780f,intermittent,FALSE,16,1804,82,82,49,1.6.7-beta,SM-N960U
cc942fcd-74cb-4f23-b707-c639a0737553,limited-surveys,FALSE,13,729,93,89,80,2.7.5-WASH-Mar2020,"iPhone11,8"
6a26fbec-d610-4d01-bff7-1f80567f840c,active,FALSE,66,1999,253,255,51,2.7.5-WASH-Mar2020,"iPhone10,1"
5791c456-1016-433e-9f8e-f348b09b5cbf,intermittent,FALSE,165,342,47,47,85,2.7.5-WASH-Mar2020,"iPhone10,5"
7924d3c2-3fe2-404d-be39-7add91d5c878,intermittent,FALSE,164,453,51,51,84,2.7.5-WASH-Mar2020,"iPhone10,5"
43d5559d-8087-4fcd-b3c5-f293ce109321,limited-sensors,FALSE,117,18,0,0,84,2.7.5-WASH-Mar2020,"iPhone10,5"
